CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Measure Code,Measure Name,Score,Footnote,Measure Date Range,Cleaned Address,Latitude,Longitude
421546,PROMEDICA HOSPICE-CHARLESTON,"1470 TOBIAS GADSON BLVD, SUITE 203",,CHARLESTON,SC,29407,Charleston,(843) 766-7646,4,H_001_01_DENOMINATOR,,152,,07/01/2022-06/30/2023,1470 TOBIAS GADSON BLVD,32.80960987698599,-80.03000424081941
421546,PROMEDICA HOSPICE-CHARLESTON,"1470 TOBIAS GADSON BLVD, SUITE 203",,CHARLESTON,SC,29407,Charleston,(843) 766-7646,4,H_001_01_OBSERVED,Hospice and Palliative Care Treatment Preferences,100.0,,07/01/2022-06/30/2023,1470 TOBIAS GADSON BLVD,32.80960987698599,-80.03000424081941
421546,PROMEDICA HOSPICE-CHARLESTON,"1470 TOBIAS GADSON BLVD, SUITE 203",,CHARLESTON,SC,29407,Charleston,(843) 766-7646,4,H_002_01_DENOMINATOR,,152,,07/01/2022-06/30/2023,1470 TOBIAS GADSON BLVD,32.80960987698599,-80.03000424081941
421546,PROMEDICA HOSPICE-CHARLESTON,"1470 TOBIAS GADSON BLVD, SUITE 203",,CHARLESTON,SC,29407,Charleston,(843) 766-7646,4,H_002_01_OBSERVED,Beliefs & Values Addressed (if desired by the patient),100.0,,07/01/2022-06/30/2023,1470 TOBIAS GADSON BLVD,32.80960987698599,-80.03000424081941
421546,PROMEDICA HOSPICE-CHARLESTON,"1470 TOBIAS GADSON BLVD, SUITE 203",,CHARLESTON,SC,29407,Charleston,(843) 766-7646,4,H_003_01_DENOMINATOR,,152,,07/01/2022-06/30/2023,1470 TOBIAS GADSON BLVD,32.80960987698599,-80.03000424081941
421546,PROMEDICA HOSPICE-CHARLESTON,"1470 TOBIAS GADSON BLVD, SUITE 203",,CHARLESTON,SC,29407,Charleston,(843) 766-7646,4,H_003_01_OBSERVED,Hospice and Palliative Care Pain Screening,100.0,,07/01/2022-06/30/2023,1470 TOBIAS GADSON BLVD,32.80960987698599,-80.03000424081941
421546,PROMEDICA HOSPICE-CHARLESTON,"1470 TOBIAS GADSON BLVD, SUITE 203",,CHARLESTON,SC,29407,Charleston,(843) 766-7646,4,H_004_01_DENOMINATOR,,71,,07/01/2022-06/30/2023,1470 TOBIAS GADSON BLVD,32.80960987698599,-80.03000424081941
421546,PROMEDICA HOSPICE-CHARLESTON,"1470 TOBIAS GADSON BLVD, SUITE 203",,CHARLESTON,SC,29407,Charleston,(843) 766-7646,4,H_004_01_OBSERVED,Hospice and Palliative Care Pain Assessment,100.0,,07/01/2022-06/30/2023,1470 TOBIAS GADSON BLVD,32.80960987698599,-80.03000424081941
421546,PROMEDICA HOSPICE-CHARLESTON,"1470 TOBIAS GADSON BLVD, SUITE 203",,CHARLESTON,SC,29407,Charleston,(843) 766-7646,4,H_005_01_DENOMINATOR,,152,,07/01/2022-06/30/2023,1470 TOBIAS GADSON BLVD,32.80960987698599,-80.03000424081941
421546,PROMEDICA HOSPICE-CHARLESTON,"1470 TOBIAS GADSON BLVD, SUITE 203",,CHARLESTON,SC,29407,Charleston,(843) 766-7646,4,H_005_01_OBSERVED,Hospice and Palliative Care Dyspnea Screening,100.0,,07/01/2022-06/30/2023,1470 TOBIAS GADSON BLVD,32.80960987698599,-80.03000424081941
421546,PROMEDICA HOSPICE-CHARLESTON,"1470 TOBIAS GADSON BLVD, SUITE 203",,CHARLESTON,SC,29407,Charleston,(843) 766-7646,4,H_006_01_DENOMINATOR,,44,,07/01/2022-06/30/2023,1470 TOBIAS GADSON BLVD,32.80960987698599,-80.03000424081941
421546,PROMEDICA HOSPICE-CHARLESTON,"1470 TOBIAS GADSON BLVD, SUITE 203",,CHARLESTON,SC,29407,Charleston,(843) 766-7646,4,H_006_01_OBSERVED,Hospice and Palliative Care Dyspnea Treatment,100.0,,07/01/2022-06/30/2023,1470 TOBIAS GADSON BLVD,32.80960987698599,-80.03000424081941
